deliveryDate,deliveryHour,deliveryInterval,settlementPoint,settlementPointType,settlementPointPrice,DSTFlag
2026-01-02,1,3,HB_NORTH,HU,19.56,False
2026-01-02,1,4,HB_NORTH,HU,19.14,False
2026-01-02,2,1,HB_NORTH,HU,18.31,False
2026-01-02,2,2,HB_NORTH,HU,16.35,False
2026-01-02,2,3,HB_NORTH,HU,16.27,False
2026-01-02,2,4,HB_NORTH,HU,16.09,False
2026-01-02,3,1,HB_NORTH,HU,15.74,False
2026-01-02,3,2,HB_NORTH,HU,16.04,False
2026-01-02,3,3,HB_NORTH,HU,15.34,False
2026-01-02,3,4,HB_NORTH,HU,14.54,False
2026-01-02,4,1,HB_NORTH,HU,12.77,False
2026-01-02,4,2,HB_NORTH,HU,12.0,False
2026-01-02,4,3,HB_NORTH,HU,10.96,False
2026-01-02,4,4,HB_NORTH,HU,10.91,False
2026-01-02,5,1,HB_NORTH,HU,12.34,False
2026-01-02,5,2,HB_NORTH,HU,13.05,False
2026-01-02,5,3,HB_NORTH,HU,13.3,False
2026-01-02,5,4,HB_NORTH,HU,13.6,False
2026-01-02,6,1,HB_NORTH,HU,14.09,False
2026-01-02,6,2,HB_NORTH,HU,16.24,False
2026-01-02,6,3,HB_NORTH,HU,18.07,False
2026-01-02,6,4,HB_NORTH,HU,19.25,False
2026-01-02,7,1,HB_NORTH,HU,19.98,False
2026-01-02,7,2,HB_NORTH,HU,19.57,False
2026-01-02,7,3,HB_NORTH,HU,19.21,False
2026-01-02,7,4,HB_NORTH,HU,18.71,False
2026-01-02,8,1,HB_NORTH,HU,19.85,False
2026-01-02,8,2,HB_NORTH,HU,20.25,False
2026-01-02,8,3,HB_NORTH,HU,19.61,False
2026-01-02,8,4,HB_NORTH,HU,17.87,False
2026-01-02,9,1,HB_NORTH,HU,15.41,False
2026-01-02,9,2,HB_NORTH,HU,2.49,False
2026-01-02,9,3,HB_NORTH,HU,-0.98,False
2026-01-02,9,4,HB_NORTH,HU,-2.11,False
2026-01-02,10,1,HB_NORTH,HU,-3.01,False
2026-01-02,10,2,HB_NORTH,HU,-2.71,False
2026-01-02,10,3,HB_NORTH,HU,-2.37,False
2026-01-02,10,4,HB_NORTH,HU,-2.0,False
2026-01-02,11,1,HB_NORTH,HU,-2.0,False
2026-01-02,11,2,HB_NORTH,HU,-2.0,False
2026-01-02,11,3,HB_NORTH,HU,-2.0,False
2026-01-02,11,4,HB_NORTH,HU,-2.24,False
2026-01-02,12,1,HB_NORTH,HU,-2.1,False
2026-01-02,12,2,HB_NORTH,HU,-2.0,False
2026-01-02,12,3,HB_NORTH,HU,-2.0,False
2026-01-02,12,4,HB_NORTH,HU,-1.99,False
2026-01-02,13,1,HB_NORTH,HU,-1.9,False
2026-01-02,13,2,HB_NORTH,HU,-1.51,False
2026-01-02,13,3,HB_NORTH,HU,-0.8,False
2026-01-02,13,4,HB_NORTH,HU,-0.53,False
2026-01-02,14,1,HB_NORTH,HU,-0.71,False
2026-01-02,14,2,HB_NORTH,HU,-0.34,False
