settlement_point,AZ_ALL,BAFFIN_ALL,BBREEZE_1_2,BCH_RN,BCK_RN,BLSMT1_5_A_6,BLUEJAY_RN,BLVN_RN,BOCO_ESS_RN,BOOTLEG_UN1,BRHEIGHT_RN,BRPANGLE_RN,BRP_LOP1_RN,BRP_SWNY_RN,BR_VHB6CT5_6,BUCHAN_ALL,BULLCRK_1_2,BYP_RN,CALAVER_JKS2,CASL_GAP_UN1,CEDROHI_CHW1,CISC_RN,CONTINEN_RN,COYOTSPR_RN,CPSES_UNIT1,DAN_ALL,DOW_64,DOW_81_2_84,DSWL_BES1,ESCONDID_ESR,EXN_8,FAL_FALCONG1,FAL_FALCONG3,FOXTROT_ALL,FO_FORMOSG8,FRMR_BS2_RN1,HAYSEN1_2,HB_HOUSTON,HB_NORTH,HB_SOUTH,HB_WEST,HDNLAKES_RN,HI_LONEB_RN1,HI_LONE_ALL,HOLSTEIN_ALL,HOVEY_GEN,H_HOLLO_WND1,JUNO_ALL,K2_DGR1_RN,LBRA_BES1,LEONLCPCT3_4,LHSES_UNIT1,LZ_HOUSTON,LZ_NORTH,LZ_SOUTH,LZ_WEST,MAINLAND_RN,MARBFA,MESQUITE_RN2,MESTENO_RN,MGSES_CT456,MIDWY_RN,MIL_MILG345,MLSES_UNIT3,MYR_ALL,NCO_RN,ODESW_RN,PAP1_PAP1,PB2SES_CT2,PB2SES_CT4,PH2_U1_U2,PINEFRST_RN,PPEC_RN,PTLBES_BESS1,QUEEN_SL_RN,RAT_RN_1,REROCK_ALL,RIOG_ESR_RN,RN_DEC_AGR_C,RN_LNP_SLR,RN_RHN_ESR,RN_SOLC_SLR,ROW_ALL,RSK_RN,RUSSEKST_RN,SAMSON_ALL,SANDHSYD1_2,SANDLAKE_RN,SIL_SILAS_10,SOLARA_UNIT1,SRWE1_UNIT1,STAM_SLR_ALL,STP_STP_G2,SWTWN4_WND45,SYBR_SLR_RN,S_HILLS_RN,TGW_T1_T2,TOPAZ_ALL,TRINITY_ALL,TRUENO_ALL
AZ_ALL,1.0,0.6135191149310776,0.6202274781574105,0.9984770929145382,0.9983115497680705,-0.06448961506599313,0.9880230606150989,0.8663773061659733,-0.2200839673916357,-0.2146030015880557,0.9996533870214961,0.9981213636755628,0.8750633149597827,0.9981614971143825,0.951514735219122,0.8756744747732531,-0.2053823912469379,0.9994014066851736,0.9491207088508496,-0.21024914812180048,0.8522713469354839,-0.16649264248351006,0.7593096654409577,-0.2167864349892782,-0.22438817077137102,0.9950403381307171,0.9974760102588314,0.9974760102588314,-0.5647195097930361,0.6135111537933041,0.999998190834773,0.8665682961590959,0.8665682961590959,0.8785905239600297,0.9510328760980884,-0.4811374667653645,0.971766140723588,0.9999982902308983,,0.9660625799662058,-0.22195661960420146,0.999665000793366,-0.40009884074237845,-0.40009884074237845,-0.24505959475775885,-0.2155666300154714,-0.264383195547734,-0.2200839673916357,0.952635067716815,0.964027233884719,0.9472015255566548,-0.40827321076052614,0.9998825636702919,-0.10608639290017703,0.9285801885994409,-0.2408196035709338,0.9995790347340483,0.8562912976464615,0.736184116268304,0.8303217044692449,-0.2258434447005958,-0.21839668126041142,0.010215781176681385,-0.1351899411213748,0.9984770929145382,0.9982006673847904,-0.21732973927021512,0.8012726203243655,-0.21710660538686125,-0.21710660538686125,-0.0661977141663832,-0.4017350023156102,0.8900372453072342,0.9483644462457423,-0.212972525886117,-0.6221130005737404,-0.2155666300154714,0.7590279320289693,0.11338630857437976,0.9986007476735728,0.9999834763520438,-0.13578419799278577,0.9987793064241516,-0.2877481299246151,-0.023069692209870044,-0.4367889336640269,0.9756288504470321,-0.21691175482355604,0.7361805083715645,-0.20771020577957697,-0.2200839673916357,-0.43752304650006996,0.9935085857077343,-0.21444734687946398,0.969524584636359,-0.04515291166049913,0.6135191149310776,0.999647076372278,-0.0785710995951137,0.7340446229113027
BAFFIN_ALL,0.6135191149310776,1.0,0.9977387116874168,0.6263965976876922,0.624093931332291,-0.08556851641362465,0.5725572801830587,0.42706263932230926,-0.2385645343880057,-0.2241892809256656,0.6188924578433973,0.6295400177221105,0.8111837504658269,0.6297164028699686,0.6220716937893022,0.607069605901226,-0.2291252817095737,0.6201193703023952,0.6047579167863063,-0.21900195171143455,0.8137839925313012,-0.17103446691482257,0.899236931190725,-0.22449977092550363,-0.11046939088494431,0.6295271321653775,0.6269397618910653,0.6269397618910653,-0.21438550201961726,0.336974683686918,0.6131239462915837,0.8194185484986722,0.8194185484986722,0.39283577536879266,0.7495776081648828,-0.2526596919123305,0.6212514468966145,0.6137280139318171,,0.7095371176218593,-0.22597850128330996,0.6187795867714342,-0.3911257298745503,-0.3911257298745503,-0.2529976833276197,-0.2238563263022993,-0.26642948806186556,-0.2385645343880057,0.6173345764568909,0.6188100176849595,0.6187328521624975,-0.2088676678662612,0.6168230747084495,-0.026168294881491805,0.8027547493829593,-0.24192627821682308,0.6193211781144542,0.6008958455859369,0.9105300086220441,0.8233032709896957,-0.24114577734476036,-0.22542599677029299,0.0010616219103333473,-0.03809976526915204,0.6263965976876922,0.6298207894245261,-0.22370681344422635,0.8377881162878837,-0.22426797223363365,-0.22426797223363365,-0.012426791841442662,-0.2172996301295317,0.5146143736432293,0.7536072292331076,-0.2216168866625072,-0.4985807716243343,-0.2238563263022993,0.899439418429833,0.07105732223225622,0.6278097010110357,0.612225446410345,-0.14862333828767757,0.6226981604208405,-0.2611510713678642,0.012795236593662707,-0.23217894080994497,0.623770911794762,-0.2246108979600371,0.9107314524395203,-0.20985668299619853,-0.2385645343880057,-0.2324660079199882,0.6326219913524964,-0.22918583428962228,0.5365551685022864,-0.05844120800379264,1.0,0.6189503415568173,-0.08571343196673963,0.9111195677045497
BBREEZE_1_2,0.6202274781574105,0.9977387116874168,1.0,0.6331847219034354,0.6311056992267053,-0.09302854435502476,0.5785402883961315,0.4302985184857625,-0.24680113570637172,-0.22250276374429967,0.6257190507095161,0.636191527269702,0.8024839621549112,0.6363428379793977,0.6318528467075637,0.6176803289742087,-0.23712346635214523,0.627005094421571,0.616335982941383,-0.2171397438277132,0.8197871365752799,-0.17992539679282216,0.8937808623333139,-0.22381386872108056,-0.1172718627143398,0.6368073007451179,0.6339613160610562,0.6339613160610562,-0.21718465464364534,0.33384170468696994,0.6198276177809977,0.8105646929899754,0.8105646929899754,0.42152450404567304,0.7476118266126373,-0.2496645080475974,0.6305032396498972,0.6204548234613021,,0.7144377767592285,-0.23330173747908,0.6256073573459976,-0.4037384690570073,-0.4037384690570073,-0.2634129144995927,-0.22270234602865568,-0.2771612913922703,-0.24680113570637172,0.6275351697043124,0.6287478591826335,0.628692560651617,-0.20514266028636374,0.6235904102843839,-0.03162415330821116,0.7983208383743455,-0.24429167761922718,0.6261640011215889,0.611748835931512,0.9034372471286597,0.8195996373358696,-0.2505412111516427,-0.22536073141756638,-0.0051022059134362635,-0.03183158042684521,0.6331847219034354,0.6364235792406143,-0.22370926168290262,0.8199760731283698,-0.2239316918038654,-0.2239316918038654,-0.014496964724899829,-0.21384223955828463,0.5227284342577179,0.751114543581959,-0.22018505451717818,-0.5106940979680111,-0.22270234602865568,0.8939801660017733,0.06590754735227186,0.6344458754051843,0.6189123154587157,-0.15699800114096096,0.6296629361287246,-0.2735807874455213,0.01743691502832229,-0.22888917821581775,0.6328535055793664,-0.22394561283649256,0.9038244483984254,-0.21924724883821414,-0.24680113570637172,-0.22918052759953667,0.639886830606849,-0.23874730141653158,0.542131266736303,-0.06556304389357008,0.9977387116874168,0.6257759874671879,-0.09317282489468987,0.9037321654765988
BCH_RN,0.9984770929145382,0.6263965976876922,0.6331847219034354,1.0,0.9999804902766687,-0.07473128066453183,0.97802469432038,0.8376427147100459,-0.24799478883101905,-0.24362994850106623,0.9995786342277047,0.9999750863229311,0.8884902603586583,0.999976675802716,0.9665744894519386,0.8994736625770435,-0.23319937270430863,0.9997789654816377,0.9640915308170933,-0.23826029169801496,0.8660246810991177,-0.18306360019452753,0.772646174754511,-0.24513361092157523,-0.21418456725040003,0.9989782721380721,0.9998621573624331,0.9998621573624331,-0.5257719631016763,0.6014851596561857,0.9983829373015037,0.8800615126131386,0.8800615126131386,0.8893479277811033,0.9622392332034946,-0.4716690326466683,0.982766482573529,0.9985656299247744,,0.9779592005100479,-0.2461937799646649,0.9995655993213175,-0.43242538590997687,-0.43242538590997687,-0.2719871205521219,-0.24413839060931194,-0.29181786832263684,-0.24799478883101905,0.9673875557479402,0.9766895313200834,0.9629115279183148,-0.39904426123473175,0.9992024837934477,-0.09232369478975135,0.9392835298300998,-0.26977621221722115,0.9996515785637556,0.8816098337617893,0.7495582003971029,0.8439456820761894,-0.25290015704990626,-0.2464717045660638,0.011520618923814367,-0.1253969682193167,1.0,0.999977797453579,-0.24506184080020665,0.8144373839029218,-0.24518362934913648,-0.24518362934913648,-0.07333320880048426,-0.396162658695712,0.8797033933469274,0.9596246252814636,-0.24128203649496516,-0.6576146720458186,-0.24413839060931194,0.7723675276925316,0.11650912200368127,0.9999896347062394,0.9981490599481022,-0.15165063735412967,0.9999708287641715,-0.3087312798656848,-0.03488974796404751,-0.429295874325962,0.9857575814376385,-0.245259125207788,0.7495613774514688,-0.2289437447508734,-0.24799478883101905,-0.4299784936920959,0.9982430007748123,-0.23996819710486145,0.9547270236268925,-0.051097769410629705,0.6263965976876922,0.9995856061280541,-0.08624881657134575,0.7474101274811763
BCK_RN,0.9983115497680705,0.624093931332291,0.6311056992267053,0.9999804902766687,1.0,-0.0757517444577321,0.9773988695836194,0.8359541722922859,-0.2499746958285839,-0.24532292332322714,0.9994935401121994,0.9999516685290198,0.8869075388303722,0.9999479050244343,0.9675863737586898,0.9010325910870064,-0.2351678508917854,0.9997229233787936,0.9652697206859404,-0.23989288606886805,0.8647272635345846,-0.18446171594687336,0.7708470883796346,-0.24684109534594417,-0.2140225854012163,0.9991370284688713,0.9999149898713733,0.9999149898713733,-0.5236745874154053,0.6006888330793634,0.9982126953629264,0.8783811641415723,0.8783811641415723,0.8919797831913172,0.9615547673431615,-0.47072155751858974,0.9835211258233272,0.9984063395623581,,0.9780472227940075,-0.24795502351426987,0.9994793197911835,-0.4345611007100482,-0.4345611007100482,-0.27394287811172785,-0.24583616444218087,-0.2938076433113827,-0.2499746958285839,0.9684276418863752,0.9775867556071628,0.9639906845153432,-0.39809433200750194,0.999081982320875,-0.0919455008256828,0.9381474050055535,-0.2716557735857128,0.9995756329568575,0.8832724529249588,0.7475012298894763,0.8421819408060197,-0.25481138226502087,-0.24819211383644005,0.011150265299417367,-0.12438882634909372,0.9999804902766685,0.9999442989366951,-0.2467683638780443,0.8120936463761992,-0.2468928351424209,-0.2468928351424209,-0.07436962824122947,-0.39542237064408714,0.8792623009050768,0.9588858829318947,-0.2429520920100758,-0.6599931647986852,-0.24583616444218087,0.7705654877422716,0.11624288866795333,0.9999428627439401,0.9979668657657228,-0.15297882044825517,0.9999616908049292,-0.31036953554149255,-0.03588803175505687,-0.42845150763472584,0.9864391946173894,-0.24696732378331074,0.7475089206872121,-0.23058931585652645,-0.2499746958285839,-0.4291312858890641,0.9984377613819876,-0.24182180784603663,0.9538723897263033,-0.051876527368710665,0.624093931332291,0.9995011164972173,-0.08712009861548331,0.7453281996058552
BLSMT1_5_A_6,-0.06448961506599313,-0.08556851641362465,-0.09302854435502476,-0.07473128066453183,-0.0757517444577321,1.0,-0.03441705846227518,0.0663405400296959,0.9119917267509798,0.48756122780122113,-0.06949183084168938,-0.07552172610768602,-0.07304600657693643,-0.07542129777574008,-0.1304751449989966,-0.24637152748860966,0.9148151145063914,-0.07119310970051848,-0.13313908829038582,0.5024953064696215,-0.09962759099557661,0.9532038255176081,-0.09873241930181623,0.5047921209309235,0.9187808315293183,-0.0836451736748093,-0.07810861223389244,-0.07810861223389244,0.34329354877980583,0.35870667809533413,-0.06401278086995328,-0.07395290459650782,-0.07395290459650782,-0.13065937367412508,-0.09013801070106875,-0.8433170496769091,-0.09965124566311581,-0.06484613308121052,,-0.10471287951718045,0.9189821949646306,-0.06929877826230413,0.7333178241567635,0.7333178241567635,0.923033518054315,0.4998344216546225,0.9136896716036742,0.9119917267509798,-0.12960048818360834,-0.11518557222793113,-0.13411703150681265,-0.8840140578711718,-0.06742470665385061,0.9028252598584651,-0.0717354620090179,0.6752201171384112,-0.07003451291759051,-0.28011807191868404,-0.09703951004696713,-0.09266128947653524,0.9231391018010339,0.514729708143595,0.9739623565646462,-0.9794705910103395,-0.07473128066453183,-0.07516997572105034,0.5058612902790645,-0.062285919465928506,0.5072928768390466,0.5072928768390466,0.7600038133826537,-0.8836881658152479,-0.4435485703060325,-0.08941853560551019,0.4924555997303868,0.5552052430520025,0.4998344216546225,-0.09875858765433264,0.9528726900995572,-0.0740339450641991,-0.06340343447608283,0.9912333992663512,-0.07402767006457396,0.7586130320355017,0.2971282620292013,-0.8678851832213305,-0.12549647880929682,0.5045234769295898,-0.09736007544904744,0.9645249351941331,0.9119917267509798,-0.8675330796651246,-0.08621951451298587,0.939471144081449,0.02197868703025545,0.9961101021443551,-0.08556851641362463,-0.06954790610371472,0.9986866662547239,-0.09632822141105156
BLUEJAY_RN,0.9880230606150989,0.5725572801830587,0.5785402883961315,0.97802469432038,0.9773988695836194,-0.03441705846227518,1.0,0.9329239443090418,-0.13791366840375005,-0.12997660258848556,0.9836219079597288,0.9767853161511802,0.8271047617535215,0.9769388647393868,0.8933845091386309,0.7942314271799938,-0.1237295802544407,0.9820990373903133,0.8909803508506203,-0.12856146287591283,0.8032395761199386,-0.11696878297658697,0.7138760306711874,-0.13395101948194885,-0.24909830815821665,0.9677933995782471,0.9745759633240113,0.9745759633240113,-0.6648121926744027,0.6371458229859924,0.9882807414908202,0.8187345143487605,0.8187345143487605,0.830466273460911,0.9062825350671733,-0.5001177962696816,0.9247272860318552,0.9877674346397172,,0.9178600728780573,-0.15011770601964833,0.9837022683539965,-0.3025674352159115,-0.3025674352159115,-0.16512157177874764,-0.13215717066270508,-0.18268854426674594,-0.13791366840375005,0.8952690342324181,0.9123772528841166,0.8872652593897369,-0.4277874633638809,0.9855486016617087,-0.14275753141224748,0.886339873353007,-0.15567796406096832,0.9831343441943757,0.7708860932860471,0.6914684587951216,0.7828577068500434,-0.14594250035911752,-0.13625277657884674,0.006666984706946833,-0.16076709358448182,0.97802469432038,0.9770884383785977,-0.13615456254740171,0.7565617165854832,-0.1349963784616949,-0.1349963784616949,-0.04438291239437473,-0.41107993318585134,0.9044153248800896,0.9036050308569665,-0.1303640393567014,-0.5118449389160757,-0.13215717066270508,0.7135955624090969,0.10304298912932713,0.9785564395059266,0.988881200387556,-0.08875335767342356,0.9792009444826916,-0.22360026006299136,0.010796944644186401,-0.45095244659600775,0.9310427857957022,-0.13407245868386955,0.6914379365436556,-0.14440118051822218,-0.13791366840375005,-0.45181925859189753,0.9640665512215365,-0.13901226637960232,0.9951816995242074,-0.027448211222993697,0.5725572801830587,0.9835786724624405,-0.05546807454602384,0.6894304500954765
BLVN_RN,0.8663773061659733,0.42706263932230926,0.4302985184857625,0.8376427147100459,0.8359541722922859,0.0663405400296959,0.9329239443090418,1.0,0.08914497448583487,0.08843122815233265,0.8529599813010187,0.8345023034970048,0.6411028476943753,0.8349076999700136,0.6726129666744518,0.5257829130592697,0.10087283718193583,0.8486161316604972,0.6700873632735495,0.08345280026224072,0.6159474952595237,0.03463434968249129,0.5438450016579569,0.08136069856907399,-0.2560347481284706,0.8124990370043189,0.8287866777265379,0.8287866777265379,-0.8221479085896984,0.641744046887977,0.8672167864863383,0.6339330526140352,0.6339330526140352,0.6357973517975694,0.7182300650124297,-0.5210118554181747,0.727430152880951,0.8655510911765345,,0.7193512610692692,0.05446681269392165,0.8531951271936182,-0.02947955301155036,-0.02947955301155036,0.06008263452508375,0.08410179728412162,0.047951028247420424,0.08914497448583487,0.6760359873910854,0.7051044008133804,0.662771083321734,-0.4578431918117785,0.858652765497542,-0.18752820636746256,0.7070434810585836,0.0722220122465582,0.8515552741553083,0.4945653103819332,0.5256254637935129,0.6018839864684772,0.0772577922607259,0.0780549805156305,0.025860006906090884,-0.23243697787939607,0.837642714710046,0.8353068247067883,0.07568777989236365,0.5860186393946418,0.078871733306045,0.078871733306045,0.03172379683389749,-0.4193808053973786,0.8400156927648145,0.7158909842576872,0.08365602666247458,-0.19492504991326803,0.08410179728412162,0.543597678716032,0.09703305297781048,0.8391045146049824,0.8691860006293733,0.05571004091853315,0.8406936865943334,-0.03315919783712945,0.0954862310126432,-0.4661125774612742,0.7379526921898855,0.08125330137782442,0.5255219581779732,0.04183268737084152,0.08914497448583487,-0.4671924712366277,0.804038115889981,0.07380274629755898,0.9614198967176448,0.04426161648614574,0.4270626393223093,0.8528349397523688,0.03127812964618341,0.5240681892395074
BOCO_ESS_RN,-0.2200839673916357,-0.2385645343880057,-0.24680113570637172,-0.24799478883101905,-0.2499746958285839,0.9119917267509798,-0.13791366840375005,0.08914497448583487,1.0,0.7258570664394267,-0.23359732958784243,-0.25061810297501785,-0.2864995014827383,-0.25027393431081746,-0.3754895877880013,-0.5162384177351583,0.9996421005085295,-0.2379507197451574,-0.3776342319307517,0.7319693197246357,-0.30539371396569076,0.9359501962472793,-0.28272523429026514,0.7366427263999212,0.7357812667821412,-0.27079827292701597,-0.2563973968023954,-0.2563973968023954,0.13041757762032577,0.3217154654770225,-0.21909838782048838,-0.28565977436776774,-0.28565977436776774,-0.3431165514080225,-0.30770972012025205,-0.6770891177669398,-0.3276344783897396,-0.22098072303796912,,-0.33141019768777064,0.9913832487413614,-0.2332869190675152,0.8855009497685793,0.8855009497685793,0.9822629634446212,0.7339171523332074,0.9806042171221823,1.0,-0.373355561172884,-0.349625811164058,-0.3819772270267762,-0.7222139292301072,-0.22797698785014053,0.677754818114258,-0.2805559875304758,0.8693689793325692,-0.23501264213651296,-0.5506067195607826,-0.276486875339433,-0.29333360077596243,0.979035491890645,0.7424537479742275,0.7985377652292092,-0.8534754802498944,-0.24799478883101897,-0.24980799608750692,0.7334345617615489,-0.26071397159916676,0.7368865560305157,0.7368865560305157,0.7098010629976758,-0.6993538801759427,-0.457619762643474,-0.30662344512992656,0.7266625374335309,0.8036441591085232,0.7339171523332074,-0.28270510102548896,0.7514633522081197,-0.24645325575163388,-0.21716572538406834,0.9523158156730325,-0.24549343750732533,0.7777782634609323,0.4008009479971636,-0.6925129212610723,-0.3440863778706842,0.7364100837420544,-0.2767929443916772,0.9796514301371089,1.0,-0.692435165255403,-0.27773440142600936,0.9828148894059174,-0.05749588292864606,0.8747733356396974,-0.23856453438800565,-0.2337295479984529,0.8946201120348438,-0.2754036732409873
BOOTLEG_UN1,-0.2146030015880557,-0.2241892809256656,-0.22250276374429967,-0.24362994850106623,-0.24532292332322714,0.48756122780122113,-0.12997660258848556,0.08843122815233265,0.7258570664394267,1.0,-0.22853068513317473,-0.2467017059071044,-0.3074169509869409,-0.24635468683731507,-0.36647579018824383,-0.46490110155876757,0.7306493658541565,-0.23298593657039396,-0.36540463148817803,0.9954001855632887,-0.2963900592104256,0.5565319181260139,-0.27479570492549066,0.9944808214197255,0.2974824174599908,-0.2666398341532054,-0.25197427731911276,-0.25197427731911276,-0.08627134394314433,0.39347007013810226,-0.2136554288191803,-0.30707980397467455,-0.30707980397467455,-0.2965690234885598,-0.3199258529569228,-0.29357878763706863,-0.3306018316301036,-0.2155127006651125,,-0.3327419731450171,0.7580442611943575,-0.22826575904111396,0.5528277181029858,0.5528277181029858,0.5980496870654586,0.9983916787107828,0.5971127740554404,0.7258570664394268,-0.3644689239260822,-0.34421816944319206,-0.3712397651690743,-0.3215306659187239,-0.22272454121868865,0.23504520296015555,-0.2930036123007508,0.9659189994611511,-0.23000623343667606,-0.48500490437375066,-0.2733067395574645,-0.2961494512656494,0.6077944265178958,0.9869432238752821,0.347584577953662,-0.4170269735554827,-0.24362994850106617,-0.2459516227434047,0.9827956664941783,-0.30127530594685464,0.9896568771993461,0.9896568771993461,0.4470384153293085,-0.29269984556163814,-0.25477850215252934,-0.3195703530134945,0.9986470580002786,0.6180833646847961,0.9983916787107828,-0.2747915873723371,0.3064525027447692,-0.24228807714673348,-0.2116281771082867,0.5394783605838459,-0.24069418359008965,0.22960334581728847,0.6075909129887862,-0.29548806309014286,-0.3312766631726328,0.994200230313035,-0.2732955646152559,0.5943859345123388,0.7258570664394268,-0.2956824013889386,-0.2737063726334076,0.6025154871248185,-0.06813371644880564,0.4329298627940317,-0.22418928092566556,-0.2286669442691121,0.45803531496126937,-0.2730969207032324
